"time_frame","min_start","r2","b","m","t_min","t_max","t_mean","O2_min","O2_max","O2_mean","Ch","DateTime_start","type","n_min","ID_code"
"min560.5_580",560.5,"0.755","5.77",0.0042,"13.27","13.63","13.46","8.12","8.22","8.17","Ch2","2024-02-15 06:27:45.369","SMR","19.47","02-14_210"
"min580.5_600",580.5,"0.347","6.62",0.00261,"13.26","13.62","13.45","8.12","8.23","8.17","Ch2","2024-02-15 06:47:45.731","SMR","19.47","02-14_210"
"min600.5_620",600.5,"0.907","12.01",0.00629,"13.13","13.61","13.35","8.11","8.24","8.17","Ch2","2024-02-15 07:07:45.124","SMR","19.47","02-14_210"
"min620.5_640",620.5,"0.168","9.22",0.00166,"13.26","13.59","13.41","8.12","8.22","8.17","Ch2","2024-02-15 07:27:45.542","SMR","19.47","02-14_210"
"min640.5_660",640.5,"0.942","4.03",0.00639,"13.13","13.68","13.44","8.11","8.24","8.18","Ch2","2024-02-15 07:47:44.904","SMR","19.47","02-14_210"
"min660.5_680",660.5,"0.684","11.19",0.00453,"13.14","13.65","13.44","8.11","8.23","8.16","Ch2","2024-02-15 08:07:45.285","SMR","19.48","02-14_210"
"min0.5_20",0.5,"0.77","8.02",0.0028,"13.16","13.64","13.37","7.96","8.03","7.99","Ch3","2024-02-14 21:07:45.471","SMR","19.47","02-14_210"
"min20.5_40",20.5,"0.346","7.97",0.0027,"13.24","13.62","13.41","7.99","8.09","8.05","Ch3","2024-02-14 21:27:45.091","SMR","19.47","02-14_210"
"min40.5_60",40.5,"0.869","7.79",0.00513,"13.25","13.68","13.51","8","8.11","8.05","Ch3","2024-02-14 21:47:45.501","SMR","19.46","02-14_210"
"min60.5_80",60.5,"0.92","8.46",0.0058,"13.14","13.61","13.35","8","8.12","8.06","Ch3","2024-02-14 22:07:45.48","SMR","19.47","02-14_210"
"min80.5_100",80.5,"0.339","7.87",0.00233,"13.16","13.6","13.35","8.02","8.12","8.08","Ch3","2024-02-14 22:27:44.92","SMR","19.47","02-14_210"
"min100.5_120",100.5,"0.672","7.62",0.0039,"13.24","13.61","13.46","8.01","8.12","8.05","Ch3","2024-02-14 22:47:45.409","SMR","19.47","02-14_210"
"min120.5_140",120.5,"0.899","8.78",0.00549,"13.15","13.63","13.37","8.01","8.12","8.06","Ch3","2024-02-14 23:07:44.861","SMR","19.47","02-14_210"
"min140.5_160",140.5,"0.007","8.04",3e-04,"13.19","13.6","13.36","8.03","8.12","8.08","Ch3","2024-02-14 23:27:45.313","SMR","19.48","02-14_210"
"min160.5_180",160.5,"0.737","7.39",0.00397,"13.27","13.62","13.45","8.02","8.11","8.07","Ch3","2024-02-14 23:47:45.691","SMR","19.47","02-14_210"
"min180.5_200",180.5,"0.699","7.31",0.00402,"13.24","13.61","13.46","8.03","8.13","8.07","Ch3","2024-02-15 00:07:45.131","SMR","19.47","02-14_210"
"min200.5_220",200.5,"0.88","9.27",0.00569,"13.13","13.63","13.36","8.01","8.14","8.08","Ch3","2024-02-15 00:27:45.582","SMR","19.47","02-14_210"
