date,temperature,time_start,time_end,box,channel,genet,tank,run,polyps,sum_body_size_mm,sum_body_mass_g
12/9/23,15,17:45:00,02:00:00,2,3,NA,NA,Empty,NA,NA,NA
12/9/23,15,17:45:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/9/23,15,17:45:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/9/23,15,17:45:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/10/23,15,11:00:00,14:15:00,2,1,E,1,Corynactis,3,12.135,1.8188
12/10/23,15,11:00:00,14:15:00,2,2,E,2,Corynactis,6,23.05,3.4144
12/10/23,15,11:00:00,14:15:00,2,3,E,4,Corynactis,7,27.66,4.1559
12/10/23,15,11:00:00,14:15:00,1,2,E,3,Corynactis,5,22.235,3.5968
12/10/23,15,11:00:00,14:15:00,1,3,E,4,Corynactis,7,28.185,4.2867
12/10/23,15,11:00:00,14:15:00,1,4,E,5,Corynactis,6,23.87,3.5388
12/10/23,15,14:30:00,16:00:00,2,1,E,1,Tile,NA,NA,NA
12/10/23,15,14:30:00,16:00:00,2,2,E,2,Tile,NA,NA,NA
12/10/23,15,14:30:00,16:00:00,2,3,E,4,Tile,NA,NA,NA
12/10/23,15,14:30:00,16:00:00,1,2,E,3,Tile,NA,NA,NA
12/10/23,15,14:30:00,16:00:00,1,3,E,4,Tile,NA,NA,NA
12/10/23,15,14:30:00,16:00:00,1,4,E,5,Tile,NA,NA,NA
12/10/23,15,16:00:00,19:20:00,1,2,B,1,Corynactis,3,12.56,2.0148
12/10/23,15,16:00:00,19:20:00,1,3,A,2,Corynactis,3,14.56,2.3776
12/10/23,15,16:00:00,19:20:00,1,4,A,3,Corynactis,4,17.825,2.8108
12/10/23,15,19:30:00,21:00:00,1,2,B,1,Tile,NA,NA,NA
12/10/23,15,19:30:00,21:00:00,1,3,A,2,Tile,NA,NA,NA
12/10/23,15,19:30:00,21:00:00,1,4,A,3,Tile,NA,NA,NA
12/10/23,15,21:00:00,02:00:00,2,1,NA,NA,Empty,NA,NA,NA
12/10/23,15,21:00:00,02:00:00,2,2,NA,NA,Empty,NA,NA,NA
12/10/23,15,21:00:00,02:00:00,2,3,NA,NA,Empty,NA,NA,NA
12/10/23,15,21:00:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/10/23,15,21:00:00,02:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/10/23,15,21:00:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/11/23,23,13:00:00,16:00:00,2,1,B,11,Corynactis,3,15.185,2.5239
12/11/23,23,13:00:00,16:00:00,2,2,A,14,Corynactis,5,22.575,3.5519
12/11/23,23,13:00:00,16:00:00,2,3,E,14,Corynactis,3,11.135,1.6082
12/11/23,23,13:00:00,16:00:00,1,2,B,14,Corynactis,7,32.04,5.2155
12/11/23,23,13:00:00,16:00:00,1,3,A,15,Corynactis,7,32.025,5.2117000000000004
12/11/23,23,13:00:00,16:00:00,1,4,E,15,Corynactis,7,24.79,3.6425
12/11/23,23,16:45:00,02:00:00,2,1,B,11,Tile,NA,NA,NA
12/11/23,23,16:45:00,02:00:00,2,2,A,14,Tile,NA,NA,NA
12/11/23,23,16:45:00,02:00:00,2,3,E,14,Tile,NA,NA,NA
12/11/23,23,16:45:00,02:00:00,1,2,B,14,Tile,NA,NA,NA
12/11/23,23,16:45:00,02:00:00,1,3,A,15,Tile,NA,NA,NA
12/11/23,23,16:45:00,02:00:00,1,4,E,15,Tile,NA,NA,NA
12/11/23,23,09:00:00,12:00:00,2,1,NA,NA,Empty,NA,NA,NA
12/11/23,23,09:00:00,12:00:00,2,2,NA,NA,Empty,NA,NA,NA
12/11/23,23,09:00:00,12:00:00,2,3,NA,NA,Empty,NA,NA,NA
12/11/23,23,09:00:00,12:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/11/23,23,09:00:00,12:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/11/23,23,09:00:00,12:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/12/23,19,11:00:00,14:15:00,2,1,A,7,Corynactis,6,20.7,2.9022
12/12/23,19,11:00:00,14:15:00,2,2,B,7,Corynactis,3,13.12,2.0511
12/12/23,19,11:00:00,14:15:00,2,3,E,7,Corynactis,3,13.9,2.2172
12/12/23,19,11:00:00,14:15:00,1,2,A,8,Corynactis,8,33.075,5.0667
12/12/23,19,11:00:00,14:15:00,1,3,B,9,Corynactis,3,12.06,1.8016
12/12/23,19,11:00:00,14:15:00,1,4,E,10,Corynactis,8,32.565,4.9448
12/12/23,19,14:45:00,16:00:00,2,1,A,7,Tile,NA,NA,NA
12/12/23,19,14:45:00,16:00:00,2,2,B,7,Tile,NA,NA,NA
12/12/23,19,14:45:00,16:00:00,2,3,E,7,Tile,NA,NA,NA
12/12/23,19,14:45:00,16:00:00,1,2,A,8,Tile,NA,NA,NA
12/12/23,19,14:45:00,16:00:00,1,3,B,9,Tile,NA,NA,NA
12/12/23,19,14:45:00,16:00:00,1,4,E,10,Tile,NA,NA,NA
12/12/23,19,16:00:00,17:00:00,2,1,NA,NA,Empty,NA,NA,NA
12/12/23,19,16:00:00,17:00:00,2,2,NA,NA,Empty,NA,NA,NA
12/12/23,19,16:00:00,17:00:00,2,3,NA,NA,Empty,NA,NA,NA
12/12/23,19,16:00:00,17:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/12/23,19,16:00:00,17:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/12/23,19,16:00:00,17:00:00,1,4,NA,NA,Empty,NA,NA,NA
12/12/23,15,18:00:00,21:15:00,2,1,A,2,Corynactis,7,31.35,4.9569
12/12/23,15,18:00:00,21:15:00,2,2,B,2,Corynactis,5,24.07,3.9291
12/12/23,15,18:00:00,21:15:00,2,3,E,2,Corynactis,3,11.76,1.7305
12/12/23,15,18:00:00,21:15:00,1,2,B,3,Corynactis,5,26.155,4.5219
12/12/23,15,18:00:00,21:15:00,1,3,E,3,Corynactis,3,13.935,2.2144
12/12/23,15,18:00:00,21:15:00,1,4,A,4,Corynactis,4,17.025,2.6739
12/12/23,15,21:30:00,02:00:00,2,1,A,2,Tile,NA,NA,NA
12/12/23,15,21:30:00,02:00:00,2,2,B,2,Tile,NA,NA,NA
12/12/23,15,21:30:00,02:00:00,2,3,E,2,Tile,NA,NA,NA
12/12/23,15,21:30:00,02:00:00,1,2,B,3,Tile,NA,NA,NA
12/12/23,15,21:30:00,02:00:00,1,3,E,3,Tile,NA,NA,NA
12/12/23,15,21:30:00,02:00:00,1,4,A,4,Tile,NA,NA,NA
12/12/23,15,17:15:00,18:00:00,2,1,NA,NA,Empty,NA,NA,NA
12/12/23,15,17:15:00,18:00:00,2,2,NA,NA,Empty,NA,NA,NA
12/12/23,15,17:15:00,18:00:00,2,3,NA,NA,Empty,NA,NA,NA
12/12/23,15,17:15:00,18:00:00,1,2,NA,NA,Empty,NA,NA,NA
12/12/23,15,17:15:00,18:00:00,1,3,NA,NA,Empty,NA,NA,NA
12/12/23,15,17:15:00,18:00:00,1,4,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,10:45:00,14:00:00,2,1,D,7,Corynactis,3,10.925,1.571
2/14/24,13.5,10:45:00,14:00:00,2,2,D,6,Corynactis,5,18.415,2.6552
2/14/24,13.5,10:45:00,14:00:00,2,3,D,10,Corynactis,5,17.605,2.4741
2/14/24,13.5,10:45:00,14:00:00,2,4,D,8,Corynactis,6,22.275,3.3226
2/14/24,13.5,10:45:00,14:00:00,1,1,D,9,Corynactis,3,9.605,1.3085
2/14/24,13.5,10:45:00,14:00:00,1,2,D,8,Corynactis,5,17.875,2.5176
2/14/24,13.5,10:45:00,14:00:00,1,4,D,9,Corynactis,8,33.35,5.0863
2/14/24,13.5,14:30:00,16:00:00,2,1,D,7,Tile,NA,NA,NA
2/14/24,13.5,14:30:00,16:00:00,2,2,D,6,Tile,NA,NA,NA
2/14/24,13.5,14:30:00,16:00:00,2,3,D,10,Tile,NA,NA,NA
2/14/24,13.5,14:30:00,16:00:00,2,4,D,8,Tile,NA,NA,NA
2/14/24,13.5,14:30:00,16:00:00,1,1,D,9,Tile,NA,NA,NA
2/14/24,13.5,14:30:00,16:00:00,1,2,D,8,Tile,NA,NA,NA
2/14/24,13.5,14:30:00,16:00:00,1,4,D,9,Tile,NA,NA,NA
2/14/24,13.5,16:00:00,19:15:00,2,1,C,10,Corynactis,5,18.875,2.7514
2/14/24,13.5,16:00:00,19:15:00,2,2,C,6,Corynactis,3,12.185,1.8231
2/14/24,13.5,16:00:00,19:15:00,2,3,C,8,Corynactis,4,15.645,2.3349
2/14/24,13.5,16:00:00,19:15:00,2,4,C,9,Corynactis,4,15.98,2.4012
2/14/24,13.5,16:00:00,19:15:00,1,1,C,7,Corynactis,4,16.125,2.4362
2/14/24,13.5,16:00:00,19:15:00,1,2,C,9,Corynactis,6,25.03,3.8614
2/14/24,13.5,16:00:00,19:15:00,1,4,C,10,Corynactis,6,24.92,3.8224
2/14/24,13.5,19:45:00,20:50:00,2,1,C,10,Tile,NA,NA,NA
2/14/24,13.5,19:45:00,20:50:00,2,2,C,6,Tile,NA,NA,NA
2/14/24,13.5,19:45:00,20:50:00,2,3,C,8,Tile,NA,NA,NA
2/14/24,13.5,19:45:00,20:50:00,2,4,C,9,Tile,NA,NA,NA
2/14/24,13.5,19:45:00,20:50:00,1,1,C,7,Tile,NA,NA,NA
2/14/24,13.5,19:45:00,20:50:00,1,2,C,9,Tile,NA,NA,NA
2/14/24,13.5,19:45:00,20:50:00,1,4,C,10,Tile,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,2,1,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,2,2,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,2,3,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,2,4,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
2/14/24,13.5,21:00:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,09:20:00,11:30:00,2,1,C,14,Corynactis,5,16.98,2.3821
2/15/24,13.5,09:20:00,11:30:00,2,2,C,13,Corynactis,3,13.285,2.0607
2/15/24,13.5,09:20:00,11:30:00,2,3,C,12,Corynactis,4,18.145,2.8719
2/15/24,13.5,09:20:00,11:30:00,2,4,C,15,Corynactis,3,11.265,1.6694
2/15/24,13.5,09:20:00,11:30:00,1,1,C,11,Corynactis,3,11.93,1.7653
2/15/24,13.5,09:20:00,11:30:00,1,2,C,11,Corynactis,7,31.765,5.0082
2/15/24,13.5,09:20:00,11:30:00,1,4,C,14,Corynactis,3,10.73,1.5136
2/15/24,13.5,12:00:00,13:30:00,2,1,C,14,Tile,NA,NA,NA
2/15/24,13.5,12:00:00,13:30:00,2,2,C,13,Tile,NA,NA,NA
2/15/24,13.5,12:00:00,13:30:00,2,3,C,12,Tile,NA,NA,NA
2/15/24,13.5,12:00:00,13:30:00,2,4,C,15,Tile,NA,NA,NA
2/15/24,13.5,12:00:00,13:30:00,1,1,C,11,Tile,NA,NA,NA
2/15/24,13.5,12:00:00,13:30:00,1,2,C,11,Tile,NA,NA,NA
2/15/24,13.5,12:00:00,13:30:00,1,4,C,14,Tile,NA,NA,NA
2/15/24,13.5,13:45:00,17:00:00,2,1,C,4,Corynactis,3,15.59,2.6737
2/15/24,13.5,13:45:00,17:00:00,2,2,C,1,Corynactis,3,15.215,2.5412
2/15/24,13.5,13:45:00,17:00:00,2,3,C,3,Corynactis,5,23.37,3.7628
2/15/24,13.5,13:45:00,17:00:00,2,4,C,5,Corynactis,3,13.265,2.0694
2/15/24,13.5,13:45:00,17:00:00,1,1,C,2,Corynactis,3,14.92,2.4961
2/15/24,13.5,13:45:00,17:00:00,1,2,C,3,Corynactis,6,22.35,3.2287
2/15/24,13.5,13:45:00,17:00:00,1,4,C,5,Corynactis,5,22.245,3.5051
2/15/24,13.5,17:30:00,19:00:00,2,1,C,4,Tile,NA,NA,NA
2/15/24,13.5,17:30:00,19:00:00,2,2,C,1,Tile,NA,NA,NA
2/15/24,13.5,17:30:00,19:00:00,2,3,C,3,Tile,NA,NA,NA
2/15/24,13.5,17:30:00,19:00:00,2,4,C,5,Tile,NA,NA,NA
2/15/24,13.5,17:30:00,19:00:00,1,1,C,2,Tile,NA,NA,NA
2/15/24,13.5,17:30:00,19:00:00,1,2,C,3,Tile,NA,NA,NA
2/15/24,13.5,17:30:00,19:00:00,1,4,C,5,Tile,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,2,1,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,2,2,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,2,3,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,2,4,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,1,1,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,1,2,NA,NA,Empty,NA,NA,NA
2/15/24,13.5,19:00:00,02:00:00,1,4,NA,NA,Empty,NA,NA,NA
2/16/24,13.5,09:30:00,12:30:00,2,1,A,14,Corynactis,3,9.19,1.2222
2/16/24,13.5,09:30:00,12:30:00,2,2,A,13,Corynactis,8,29.16,4.2051
2/16/24,13.5,09:30:00,12:30:00,2,3,A,11,Corynactis,4,16.04,2.3907
2/16/24,13.5,09:30:00,12:30:00,2,4,A,12,Corynactis,6,26.805,4.2357
2/16/24,13.5,09:30:00,12:30:00,1,1,A,15,Corynactis,3,9.835,1.3436
2/16/24,13.5,09:30:00,12:30:00,1,2,A,11,Corynactis,4,14.27,2.0259
2/16/24,13.5,09:30:00,12:30:00,1,4,A,12,Corynactis,3,12.23,1.8258
2/16/24,13.5,13:00:00,14:30:00,2,1,A,14,Tile,NA,NA,NA
2/16/24,13.5,13:00:00,14:30:00,2,2,A,13,Tile,NA,NA,NA
2/16/24,13.5,13:00:00,14:30:00,2,3,A,11,Tile,NA,NA,NA
2/16/24,13.5,13:00:00,14:30:00,2,4,A,12,Tile,NA,NA,NA
2/16/24,13.5,13:00:00,14:30:00,1,1,A,15,Tile,NA,NA,NA
2/16/24,13.5,13:00:00,14:30:00,1,2,A,11,Tile,NA,NA,NA
2/16/24,13.5,13:00:00,14:30:00,1,4,A,12,Tile,NA,NA,NA
2/16/24,13.5,15:00:00,18:15:00,2,1,D,3,Corynactis,4,15.455,2.2876
2/16/24,13.5,15:00:00,18:15:00,2,2,D,4,Corynactis,5,18.265,2.6576
2/16/24,13.5,15:00:00,18:15:00,2,3,D,5,Corynactis,5,20.525,3.1458
2/16/24,13.5,15:00:00,18:15:00,2,4,D,1,Corynactis,5,23.29,3.7576
2/16/24,13.5,15:00:00,18:15:00,1,1,D,2,Corynactis,4,21.72,3.7534
